CreditScore,Geography,Gender,Age,Balance,NumOfProducts,IsActiveMember
621,France,Female,51,92818.21,4,0
767,France,Female,63,92913.95,1,1
374,Germany,Female,31,34190.53,4,1
303,France,Male,21,52767.75,1,0
417,France,Male,47,21163.59,2,0
803,France,Male,48,99563.11,4,0
740,Germany,Female,55,98111.79,2,0
493,Spain,Male,28,64950.89,4,1
691,Spain,Female,52,80441.41,1,1
325,France,Female,25,71510.02,1,0
734,Spain,Male,20,59315.82,4,0
472,Germany,Male,31,5334.8,1,0
599,Germany,Male,30,45476.43,2,0
625,Spain,Female,62,67478.63,2,0
709,Spain,Female,49,67753.16,3,0
417,France,Male,51,37312.26,1,1
524,Spain,Male,62,94169.2,2,1
831,France,Female,36,16735.7,4,1
412,France,Male,55,50035.94,1,0
439,Germany,Female,33,69088.4,2,0
300,Germany,Female,19,69713.58,1,0
389,Germany,Male,57,64863.9,4,1
619,Germany,Male,34,27528.82,2,0
849,Spain,Male,51,15620.66,3,0
438,Germany,Male,59,63594.03,3,1
810,Spain,Female,33,59930.21,1,0
558,Germany,Female,55,17935.6,4,1
309,Spain,Female,19,70513.91,2,1
560,France,Male,19,45517.2,4,0
471,Spain,Female,43,66776.06,2,1
312,Spain,Male,30,83736.71,1,0
467,Germany,Male,64,16972.84,2,1
620,Spain,Male,48,1914.49,4,0
618,France,Male,51,77910.26,4,1
628,France,Male,56,60969.74,1,0
849,Germany,Male,20,69963.96,4,1
718,France,Female,25,83815.5,2,1
394,Spain,Male,40,80281.09,1,1
617,France,Female,31,96092.01,2,0
535,Germany,Female,44,53593.51,4,0
633,Spain,Male,46,48849.56,1,1
675,Germany,Male,56,40188.72,2,0
758,Spain,Male,56,15369.1,4,1
436,France,Female,18,57260.72,4,0
846,Germany,Male,34,27701.25,3,1
812,Germany,Female,58,92130.75,4,0
595,Spain,Male,47,58319.08,2,1
619,Germany,Male,30,59284.02,1,1
648,Spain,Female,38,35492.47,3,1
528,Spain,Female,36,5198.94,4,1
569,Spain,Male,36,3174.38,4,0
590,Spain,Female,42,42333.51,4,1
464,France,Female,39,8456.54,2,0
304,Spain,Female,48,60684.7,3,0
678,Germany,Female,34,88097.3,2,1
377,France,Female,40,88291.48,3,0
709,Germany,Male,49,65904.54,1,0
431,France,Male,27,21123.18,2,0
341,Spain,Female,27,86299.68,2,1
388,France,Male,53,88609.34,1,0
701,France,Male,25,19665.36,3,0
595,Germany,Female,69,73742.61,4,1
594,Germany,Male,37,28651.95,1,1
825,Spain,Female,49,80264.03,4,0
721,France,Female,67,99723.79,4,1
322,France,Male,31,3002.6,1,0
442,France,Female,67,89736.59,3,0
444,Spain,Female,45,62263.05,4,0
524,Spain,Female,63,97338.26,1,1
802,Spain,Female,69,46500.95,2,0
403,Spain,Female,41,84738.79,2,1
338,Spain,Male,32,6239.41,2,1
497,Germany,Male,39,33527.91,1,0
690,France,Female,47,6701.65,2,1
478,France,Female,21,97534.31,4,1
747,France,Male,30,81697.39,2,1
799,France,Female,40,85254.74,2,1
314,France,Male,25,93796.52,4,1
588,France,Female,35,8510.35,2,0
777,France,Female,29,38559.76,4,1
530,France,Female,48,7103.49,2,0
719,Germany,Female,31,21079.31,4,0
456,France,Female,51,22936.58,2,0
849,Germany,Female,35,46910.72,4,0
740,Spain,Female,51,26856.22,1,0
396,France,Male,28,10097.81,4,0
710,Spain,Male,58,16749.11,2,1
588,Spain,Male,29,14727.56,2,1
553,Spain,Female,66,97307.68,3,1
495,Germany,Female,32,75929.25,4,0
821,Spain,Female,48,96776.15,1,1
816,Spain,Female,66,43974.05,4,1
417,Spain,Female,46,27836.85,4,1
458,France,Female,43,79829.32,1,0
527,France,Female,35,32625.39,4,1
515,Germany,Male,49,29938.34,1,0
314,Germany,Female,39,23250.6,1,1
456,France,Male,55,12967.9,4,0
560,Germany,Male,34,25646.31,4,0
456,France,Female,40,35531.97,2,0
346,Spain,Female,41,67399.42,2,1
623,Spain,Male,67,6256.48,3,1
429,Germany,Male,25,21050.69,3,0
710,France,Female,58,80902.36,4,1
394,France,Female,23,14692.19,1,0
591,Germany,Male,22,34264.51,3,0
582,France,Female,61,86465.89,4,1
368,Spain,Female,46,15492.53,3,1
310,Germany,Female,45,8273.68,1,1
553,Germany,Male,28,48453.8,4,0
849,France,Male,18,30241.95,1,0
433,Germany,Male,60,56340.84,4,1
322,France,Female,36,80380.49,3,0
645,France,Female,26,13714.85,2,1
601,France,Male,44,58069.91,3,0
662,France,Male,51,50550.88,3,1
695,France,Male,61,14407.88,2,1
517,Germany,Female,21,62399.85,2,0
440,Spain,Male,53,27364.04,4,1
509,Spain,Male,35,48783.43,4,1
759,Germany,Female,32,8227.23,1,0
655,Germany,Female,68,45958.41,1,1
623,Spain,Female,30,30646.35,3,0
432,Spain,Male,36,82238.12,2,1
426,Spain,Female,66,5697.87,1,0
405,Spain,Female,23,41860.73,3,1
677,Spain,Male,65,45843.14,2,1
350,France,Female,29,72500.61,4,1
328,Germany,Male,68,57428.76,3,1
761,France,Male,54,66721.23,4,0
595,Spain,Female,34,77704.93,1,0
596,Spain,Female,40,86220.3,1,0
706,Spain,Female,43,31387.55,2,0
704,France,Female,46,53802.27,3,0
645,France,Female,50,84010.81,4,0
719,Spain,Female,44,98945.11,2,0
481,France,Male,42,88951.93,1,1
300,France,Male,27,37146.73,1,1
670,Spain,Female,64,19516.65,3,1
730,France,Male,40,48939.25,4,1
608,Germany,Female,38,74164.15,3,0
436,Germany,Male,38,49256.91,4,0
501,Germany,Male,60,48318.09,4,0
735,Germany,Male,30,83823.04,3,1
612,Spain,Female,54,36140.38,2,0
416,Spain,Male,50,85979.47,3,1
543,Spain,Female,41,40680.48,3,0
836,Germany,Male,61,32823.31,1,0
374,Germany,Male,28,45398.99,1,0
685,France,Male,34,76244.7,3,0
509,France,Male,21,12600.2,3,1
774,Germany,Male,64,19641.92,1,1
717,Germany,Female,42,95144.48,4,0
646,Germany,Female,47,17549.16,3,1
828,Germany,Male,26,56772.73,2,0
478,France,Male,38,57931.45,2,0
481,Germany,Male,37,48962.45,2,0
324,France,Male,36,64474.52,3,0
479,Germany,Female,36,22982.67,4,1
800,Germany,Male,29,55266.23,4,0
460,Germany,Female,54,37217.33,1,0
476,France,Male,59,66166.73,3,1
584,France,Female,34,14122.35,4,0
362,Spain,Male,54,57087.74,3,1
455,Germany,Male,65,18527.04,1,0
768,Spain,Female,56,27864.31,1,0
348,Spain,Male,45,21870.98,1,0
383,France,Male,58,18283.78,2,0
660,France,Male,52,82571.1,3,0
447,Spain,Female,64,28570.76,1,0
641,Germany,Male,65,92712.38,3,1
775,France,Male,35,96992.65,2,0
362,Germany,Female,31,57126.05,2,1
659,Germany,Female,52,14300.11,1,1
626,Spain,Female,61,37454.82,1,0
440,Spain,Male,58,79773.23,4,1
514,Spain,Male,24,36739.07,3,0
734,Spain,Male,58,8701.72,1,1
617,France,Female,30,55678.49,4,0
331,France,Male,35,84512.09,3,1
584,Spain,Male,54,79592.64,1,1
604,France,Female,30,17512.31,4,0
728,Spain,Female,53,67276.46,4,1
776,Germany,Female,48,22050.43,3,0
585,Germany,Female,19,21820.75,4,0
443,Germany,Female,33,87407.18,3,0
723,Spain,Male,26,24966.9,3,0
318,Germany,Female,26,26324.73,3,0
317,France,Male,55,65.34,2,1
670,Germany,Male,28,87066.9,4,1
474,Germany,Female,39,79259.48,3,1
493,Germany,Female,50,62732.89,1,0
801,France,Female,53,75026.58,2,1
412,Spain,Male,62,15204.86,2,1
413,France,Female,40,45832.36,4,1
521,Spain,Female,62,35121.94,3,1
563,Spain,Female,62,9377.65,4,1
354,Germany,Female,51,48613.05,2,0
757,Spain,Female,26,92073.97,3,0
461,France,Male,41,4005.91,1,1
679,France,Male,25,29146.09,3,0
386,Spain,Male,24,20754.09,2,0
354,Germany,Female,53,23814.67,1,1
775,Germany,Female,35,90843.46,3,1
477,France,Female,20,46806.91,1,0
690,Germany,Male,45,46629.94,1,1
648,Spain,Female,23,76057.56,2,0
307,Spain,Female,61,15449.22,1,0
612,France,Female,61,48726.54,4,1
742,Spain,Male,38,42998.52,2,0
627,France,Female,45,59691.07,4,0
353,Spain,Male,57,99955.77,1,0
538,France,Female,18,76944.89,4,1
528,Germany,Male,53,39786.57,3,1
350,Spain,Male,38,82755.31,1,1
563,Spain,Male,60,17070.84,3,1
717,France,Female,52,3046.37,4,0
395,France,Female,30,20444.84,3,1
387,Spain,Male,66,34041.16,1,1
377,France,Male,27,51058.08,3,1
587,Spain,Female,61,61512.91,4,1
419,Germany,Female,64,91060.57,4,0
790,France,Male,27,50985.4,4,0
751,Spain,Female,63,50127.56,1,0
799,Germany,Female,30,5024.3,4,1
464,Germany,Female,54,3491.16,1,1
481,Spain,Female,55,55116.0,3,0
768,France,Male,41,43817.86,4,1
306,Spain,Female,19,83918.04,3,1
629,Germany,Female,39,16067.96,2,0
450,Spain,Male,34,2497.17,3,0
384,France,Male,53,44903.88,2,1
446,Germany,Female,31,23747.86,3,1
680,Spain,Female,27,4961.44,1,1
847,France,Female,52,72459.83,3,0
584,Germany,Female,42,11159.3,1,0
381,France,Male,20,60831.95,1,0
813,Germany,Male,64,28104.98,4,0
822,Spain,Male,55,17349.61,1,1
685,France,Female,34,37975.15,2,0
770,Germany,Female,29,80144.58,4,0
418,France,Female,69,39209.36,4,1
695,France,Female,41,75076.96,3,1
831,Spain,Male,46,12548.63,1,1
560,France,Male,60,77277.14,1,0
555,Germany,Female,42,23693.33,2,1
525,Germany,Male,53,67739.31,3,1
352,Germany,Female,43,56578.16,3,0
799,Germany,Female,55,92914.47,4,0
805,Spain,Male,18,38732.25,4,1
663,France,Female,37,6616.52,4,0
579,Spain,Female,45,1915.55,2,1
457,France,Male,33,82685.86,2,1
358,France,Female,64,52473.56,4,0
427,France,Female,34,77524.41,3,1
414,Spain,Male,57,23442.56,2,0
508,France,Female,45,34508.37,3,0
825,Spain,Male,29,3010.39,3,0
820,Germany,Female,44,96149.23,1,1
536,Germany,Male,59,66786.79,4,0
580,France,Male,64,93320.51,1,0
658,Spain,Male,47,26549.64,4,1
500,Germany,Female,58,61146.36,4,1
577,Spain,Male,51,67850.0,3,1
534,Spain,Male,54,31754.97,4,1
793,France,Male,23,84810.92,3,0
303,Germany,Male,24,94716.15,3,0
741,France,Male,49,88485.51,4,0
328,France,Female,49,73906.7,3,1
408,Germany,Female,42,27746.47,3,1
374,Germany,Female,50,28161.6,3,0
445,Spain,Female,24,96336.03,2,1
427,Germany,Female,69,1028.45,3,1
341,Spain,Female,29,71605.0,2,0
655,Spain,Female,33,70624.62,2,0
340,Spain,Male,33,62268.95,3,1
333,Germany,Female,60,99010.88,3,1
316,France,Male,53,31187.94,2,1
452,Spain,Male,30,33997.19,2,0
